,0,1,2,3,4
0,Action,Adventure,Science Fiction,Thriller,
1,Action,Adventure,Science Fiction,Thriller,
2,Adventure,Science Fiction,Thriller,,
3,Action,Adventure,Science Fiction,Fantasy,
4,Action,Crime,Thriller,,
5,Western,Drama,Adventure,Thriller,
6,Science Fiction,Action,Thriller,Adventure,
7,Drama,Adventure,Science Fiction,,
8,Family,Animation,Adventure,Comedy,
9,Comedy,Animation,Family,,
10,Action,Adventure,Crime,,
11,Science Fiction,Fantasy,Action,Adventure,
12,Drama,Science Fiction,,,
13,Action,Comedy,Science Fiction,,
14,Action,Adventure,Science Fiction,,
15,Crime,Drama,Mystery,Western,
16,Crime,Action,Thriller,,
17,Science Fiction,Action,Adventure,,
18,Romance,Fantasy,Family,Drama,
19,War,Adventure,Science Fiction,,
20,Action,Family,Science Fiction,Adventure,Mystery
21,Action,Drama,,,
22,Action,Drama,Thriller,,
23,Drama,Romance,,,
24,Comedy,Drama,,,
25,Action,,,,
26,Comedy,,,,
27,Crime,Comedy,Action,Adventure,
28,Drama,Thriller,History,,
29,Action,Science Fiction,Thriller,,
30,Mystery,Drama,,,
31,Crime,Action,Science Fiction,,
32,Comedy,Music,,,
33,Thriller,Drama,,,
34,Adventure,Horror,Comedy,,
35,Drama,Thriller,,,
36,Crime,Drama,Mystery,,
37,Adventure,Animation,Comedy,Family,Fantasy
38,Action,Crime,Drama,Mystery,Thriller
39,Drama,Romance,,,
40,Drama,Music,,,
41,Fantasy,Action,Adventure,,
42,History,Drama,,,
43,Comedy,Action,Adventure,,
44,Fantasy,Drama,Romance,,
45,Action,Adventure,Science Fiction,,
46,Fantasy,Comedy,Animation,Science Fiction,Family
47,Drama,Mystery,Romance,,
48,Thriller,Crime,Drama,,
49,Thriller,Comedy,Drama,Romance,Science Fiction
50,Romance,Drama,,,
51,Comedy,,,,
52,Adventure,Drama,,,
53,Comedy,Drama,,,
54,Action,Crime,Thriller,,
55,Drama,,,,
56,Science Fiction,Mystery,Thriller,,
57,Comedy,Adventure,,,
58,Drama,,,,
59,Mystery,Crime,Action,Thriller,Drama
60,Action,Crime,Drama,Mystery,Thriller
61,Action,Adventure,Science Fiction,,
62,Mystery,Horror,,,
63,Action,Comedy,Crime,,
64,Romance,Comedy,Crime,Drama,
65,Action,Crime,Thriller,,
66,Thriller,Drama,Adventure,Action,History
67,Crime,Thriller,Action,,
68,Drama,,,,
69,Comedy,,,,
70,Drama,Thriller,War,,
71,Crime,Thriller,,,
72,Thriller,,,,
73,Adventure,Family,Fantasy,,
74,Action,Adventure,Fantasy,,
75,Comedy,Drama,,,
76,Adventure,Animation,Comedy,Family,
77,Drama,,,,
78,Comedy,,,,
79,Drama,Horror,Thriller,,
80,Romance,Drama,,,
81,Animation,Comedy,Family,,
82,Family,Comedy,,,
83,Adventure,Drama,Thriller,,
84,Action,Crime,Drama,,
85,Adventure,Comedy,,,
86,Horror,Thriller,,,
87,Horror,,,,
88,Drama,Romance,Science Fiction,,
89,Crime,Thriller,,,
90,Thriller,Mystery,,,
91,Comedy,,,,
92,Fantasy,Action,Adventure,,
93,Thriller,Science Fiction,Action,Adventure,
94,Adventure,Animation,Fantasy,,
95,Adventure,Animation,Comedy,Family,
96,Drama,,,,
97,Romance,Comedy,,,
98,Horror,,,,
99,Action,Adventure,Comedy,Family,
100,Adventure,Animation,Family,,
101,Action,Drama,Science Fiction,,
102,Thriller,,,,
103,Thriller,Action,,,
104,Comedy,,,,
105,Comedy,,,,
106,Comedy,Horror,,,
107,Horror,Thriller,,,
108,Crime,Drama,,,
109,Crime,Action,Thriller,,
110,Horror,Comedy,Fantasy,,
111,Drama,Mystery,Thriller,,
112,Action,Thriller,,,
113,Crime,Drama,Comedy,,
114,Comedy,Action,,,
115,Drama,,,,
116,Action,Fantasy,Adventure,,
117,Comedy,,,,
118,Science Fiction,Thriller,,,
119,Comedy,Science Fiction,,,
120,Thriller,Action,Crime,,
121,Mystery,Thriller,Fantasy,Horror,Drama
122,Thriller,Action,,,
123,Comedy,Drama,Music,,
124,Horror,Thriller,,,
125,Romance,Thriller,Western,,
126,Drama,,,,
127,Crime,Drama,Mystery,,
128,Comedy,,,,
129,Family,Animation,,,
131,Adventure,Drama,Family,,
132,Family,Animation,Comedy,Adventure,
133,Drama,,,,
134,Comedy,Drama,,,
135,Action,Drama,Crime,,
136,Horror,Thriller,,,
137,Action,Crime,Comedy,,
138,Drama,Horror,Thriller,,
139,Drama,Science Fiction,Thriller,,
140,Action,Adventure,Fantasy,,
141,Comedy,Drama,,,
142,Drama,Science Fiction,Thriller,,
143,Adventure,Drama,Family,,
144,Animation,Comedy,Drama,Romance,
145,Horror,Western,Adventure,Drama,
146,Horror,Mystery,Thriller,,
147,Drama,,,,
148,Drama,,,,
150,Drama,Romance,,,
151,Horror,Thriller,,,
152,Horror,Thriller,Comedy,Crime,
153,Action,Adventure,,,
156,Drama,History,,,
157,Comedy,Drama,Music,,
158,Comedy,Drama,Romance,,
159,Action,Comedy,Science Fiction,Fantasy,
161,Crime,Drama,Mystery,Thriller,
162,Drama,Comedy,,,
163,Comedy,,,,
165,Comedy,Western,,,
166,Comedy,Thriller,,,
167,History,Drama,,,
168,Drama,History,,,
169,Drama,,,,
170,Drama,Music,Romance,,
171,Adventure,Action,Comedy,,
172,History,Drama,War,,
173,Action,Thriller,,,
174,Comedy,Drama,,,
175,Music,Action,Adventure,Comedy,Family
176,Music,Romance,Comedy,,
177,Romance,Drama,,,
179,Drama,Comedy,,,
181,Action,Adventure,Animation,Family,
183,Adventure,Comedy,Romance,,
184,Romance,Comedy,,,
185,Action,Animation,Science Fiction,,
186,Drama,Comedy,,,
187,Drama,Science Fiction,,,
188,Thriller,,,,
190,Animation,Comedy,Family,Adventure,
191,Thriller,,,,
193,Comedy,,,,
195,Documentary,Music,,,
196,Drama,,,,
197,Fantasy,Horror,,,
198,Family,Animation,,,
199,Horror,,,,
200,Romance,Drama,,,
201,Romance,Comedy,,,
202,Drama,Romance,,,
203,Drama,,,,
204,Thriller,,,,
205,Comedy,Drama,Music,,
206,Comedy,Music,War,,
207,Drama,,,,
208,Comedy,Drama,Romance,,
209,Thriller,Horror,,,
210,Drama,,,,
211,Comedy,,,,
212,Romance,Drama,,,
214,Drama,,,,
215,Mystery,Science Fiction,Thriller,,
216,Animation,Comedy,Family,Fantasy,Music
221,Drama,Horror,Science Fiction,,
223,Drama,Adventure,Comedy,,
224,Horror,,,,
225,Thriller,Horror,,,
226,Action,Adventure,Animation,,
227,Thriller,,,,
229,Comedy,,,,
230,Fantasy,Thriller,,,
233,Thriller,Crime,Drama,,
234,Drama,,,,
235,Drama,,,,
237,Drama,,,,
238,Drama,Comedy,,,
239,Animation,Adventure,Comedy,,
241,Documentary,,,,
242,Horror,Thriller,,,
243,Drama,Comedy,,,
244,Horror,Thriller,,,
245,History,Drama,,,
246,Drama,Romance,,,
247,Drama,,,,
248,Horror,TV Movie,,,
249,Thriller,Horror,,,
250,Action,,,,
251,Drama,Thriller,,,
253,Drama,Thriller,,,
254,Thriller,Horror,,,
255,Fantasy,Comedy,Animation,,
256,Adventure,Science Fiction,Action,,
257,Action,,,,
260,Action,Drama,Family,,
261,Drama,,,,
262,Horror,Thriller,,,
263,Horror,Thriller,,,
264,Drama,Documentary,,,
265,Comedy,,,,
267,Music,Drama,Crime,Comedy,
268,Comedy,Action,,,
269,Music,Animation,Family,Fantasy,
270,Drama,,,,
271,Horror,Science Fiction,,,
272,Comedy,Horror,,,
273,Action,Animation,Fantasy,,
274,Drama,Music,,,
275,Action,Drama,Thriller,,
276,Fantasy,Thriller,Horror,Science Fiction,
279,Animation,Family,,,
280,Drama,,,,
282,Horror,Comedy,,,
284,Comedy,Music,,,
285,Thriller,Comedy,Crime,,
287,Drama,Music,Adventure,Fantasy,
288,Thriller,Action,Drama,,
289,Action,Horror,Thriller,,
290,Documentary,,,,
291,Drama,War,,,
292,Horror,,,,
299,Thriller,Drama,Comedy,,
300,Drama,,,,
301,Thriller,Action,,,
302,Drama,,,,
304,Drama,Comedy,,,
308,Drama,Music,,,
310,Horror,,,,
312,Thriller,Action,Drama,,
313,Horror,,,,
316,Horror,,,,
317,Animation,Family,Fantasy,,
318,Science Fiction,Action,Horror,,
319,Horror,Action,,,
321,Comedy,Romance,,,
322,Drama,Horror,Thriller,,
323,Thriller,Drama,Science Fiction,,
325,Horror,Thriller,Science Fiction,,
326,TV Movie,Action,Science Fiction,,
329,Thriller,Drama,,,
331,Drama,Thriller,,,
332,Drama,Romance,Comedy,,
333,Crime,Drama,Thriller,,
334,Documentary,,,,
335,Documentary,,,,
336,Thriller,Drama,,,
337,War,Action,,,
338,Adventure,Action,Comedy,Science Fiction,
339,Animation,Music,Family,,
340,Drama,Horror,Science Fiction,Thriller,
342,Comedy,,,,
343,Animation,,,,
344,Drama,Comedy,,,
346,Documentary,,,,
347,Drama,TV Movie,,,
348,Thriller,,,,
349,Science Fiction,Action,Horror,,
350,Crime,Drama,Thriller,,
352,Action,Science Fiction,,,
353,Comedy,,,,
354,Science Fiction,Comedy,Horror,,
355,Thriller,Horror,,,
356,Action,Animation,Family,,
359,Science Fiction,Horror,,,
360,Action,Animation,Family,,
362,Drama,,,,
364,Drama,History,Romance,,
365,Drama,Music,TV Movie,,
366,Horror,,,,
367,Thriller,Horror,,,
372,Romance,Comedy,Drama,,
373,Romance,Comedy,,,
375,TV Movie,Horror,Science Fiction,,
376,Action,Thriller,,,
377,Documentary,,,,
378,Drama,,,,
379,Drama,Crime,,,
380,Drama,,,,
381,Horror,Science Fiction,TV Movie,,
383,Science Fiction,Action,Animation,Adventure,
386,Drama,,,,
387,Drama,Horror,Thriller,,
390,Drama,Thriller,Mystery,,
391,Drama,Science Fiction,Thriller,,
396,History,Documentary,Family,,
397,Horror,Comedy,Romance,,
398,Horror,,,,
399,Horror,Thriller,,,
405,Horror,,,,
406,Drama,,,,
407,Thriller,,,,
409,Drama,Comedy,,,
411,Horror,,,,
412,Thriller,Horror,,,
413,Romance,Comedy,,,
416,Horror,Thriller,,,
418,Drama,Thriller,,,
420,Documentary,,,,
421,Romance,Drama,Comedy,Mystery,
422,Fantasy,Drama,,,
423,TV Movie,Comedy,,,
425,Comedy,Music,,,
426,History,Drama,Family,,
427,Thriller,Mystery,Science Fiction,,
428,Comedy,,,,
432,Science Fiction,Drama,Thriller,,
433,Drama,Mystery,Thriller,,
436,Documentary,Music,,,
438,Drama,,,,
446,Horror,Science Fiction,Thriller,,
447,Comedy,Drama,Romance,,
448,Drama,Thriller,Horror,,
449,Horror,Science Fiction,Thriller,,
451,Horror,,,,
453,Drama,Music,,,
455,Documentary,Music,,,
457,Thriller,Horror,,,
459,Documentary,,,,
460,Documentary,,,,
461,Documentary,,,,
462,Comedy,,,,
463,Mystery,Horror,Comedy,,
466,Science Fiction,Horror,,,
469,Comedy,Action,Adventure,,
470,Documentary,,,,
472,Drama,Science Fiction,Thriller,,
474,Comedy,,,,
475,Comedy,,,,
476,Drama,Thriller,Science Fiction,,
477,Drama,Family,,,
481,Thriller,Drama,,,
482,Horror,Science Fiction,,,
484,Crime,Action,,,
485,Comedy,TV Movie,Animation,Science Fiction,
486,TV Movie,Drama,,,
488,Drama,Music,,,
492,Drama,,,,
493,Drama,Thriller,,,
494,Drama,,,,
495,Comedy,Drama,,,
496,Documentary,Music,,,
499,Thriller,Horror,,,
500,Comedy,,,,
501,Drama,,,,
502,Romance,Drama,Music,,
504,Music,Documentary,,,
505,Action,Crime,Drama,Thriller,
506,Horror,,,,
509,Science Fiction,Horror,,,
510,Action,Science Fiction,,,
514,Documentary,,,,
515,Drama,History,Thriller,Science Fiction,
517,Comedy,Drama,,,
520,Action,Adventure,Science Fiction,,
521,Romance,Comedy,Drama,,
524,Drama,,,,
533,Thriller,,,,
539,Music,Drama,Documentary,Crime,
540,Mystery,Drama,,,
541,Comedy,Horror,,,
543,Comedy,,,,
545,Documentary,,,,
549,Thriller,Drama,,,
552,Horror,,,,
554,Documentary,,,,
558,Horror,,,,
560,Thriller,Mystery,Horror,Fantasy,
563,Horror,,,,
564,Music,Documentary,,,
566,Animation,Comedy,Family,,
567,Comedy,,,,
568,Crime,Thriller,Action,Horror,
569,Drama,Horror,,,
572,Comedy,,,,
573,Comedy,,,,
574,Documentary,,,,
577,Drama,,,,
578,Documentary,,,,
579,Drama,,,,
580,Drama,Horror,,,
582,Thriller,Crime,Documentary,,
583,Drama,,,,
585,Drama,Horror,Thriller,,
586,Comedy,Drama,,,
589,Documentary,,,,
592,Documentary,,,,
593,Documentary,,,,
